X		Y		Z
-554810.1374	-1057162.522	877.6048
-546522.1833	-1056583.668	594.9725
-545227.9159	-1057193	565.1394
-545818.7468	-1061116.415	1010.878
-552117.0817	-1061002.08	825.1082
-553924.7359	-1065303.557	644.1191
-547713.1409	-1057918.307	871.6295
-550000.736	-1058787.463	1147.9147
-544654.3845	-1060121.784	628.6446
-551971.9388	-1058115.691	1218.6283
-548073.527	-1066704.609	1142.0189
-553141.0402	-1059834.73	1054.4656
-554743.6978	-1059619.826	1008.9882
-545221.4233	-1060270.576	720.6478
-547642.486	-1063905.91	836.8387
-548374.6319	-1063994.692	692.7242
-550201.6602	-1062659.144	974.5828
-554394.4598	-1060511.939	1109.6675
-544392.7859	-1066232.161	1314.7363
-545456.9001	-1059634.428	652.7161
-548828.9548	-1058311.689	1011.8743
-549291.389	-1066637.628	1157.2308
-554125.0613	-1066552.332	573.933
-553653.4419	-1063979.453	697.1277
-546256.8337	-1066219.359	1028.4736
-551941.1149	-1059162.571	1112.5184
-544725.6336	-1065256.065	1285.9823
-551118.6922	-1056887.692	1259.1277
-554910.8283	-1064037.561	926.617
-555301.9684	-1064765.594	831.6375
-553025.6435	-1064475.329	585.7125
-546904.9528	-1065204.085	872.5065
-545502.5403	-1064974.718	1111.12
-554279.3816	-1065832.581	595.7691
-554628.7236	-1062932.742	796.2223
-552158.9248	-1062720.741	801.8038
-549938.6485	-1064920.661	778.2173
-549556.6675	-1065036.097	758.2051
-548161.2995	-1058638.257	1081.125
-550330.0666	-1056769.321	1403.4889
-545874.9219	-1065671.529	1069.1804
-552312.3855	-1064456.442	573.2632
-550899.1029	-1058402.431	1311.8551
-545213.5108	-1065405.116	1296.2452
-553921.42	-1061562.518	1205.91
-554574.3331	-1057582.328	945.4741
-555143.4694	-1060330.673	1051.6753
-544942.6205	-1063644.584	1042.8756
-544534.6578	-1063400.419	1098.8203
-552882.3172	-1058832.725	1080.6173
-550410.9525	-1062386.89	998.2457
-547046.0173	-1064137.086	971.0693
-545042.0903	-1062458.213	888.2078
-548654.4215	-1066499.765	1133.6591
-547336.0464	-1060818.133	789.9725
-552388.9822	-1066357.012	603.8462
-548720.0824	-1057215.064	978.395
-547714.2557	-1066193.332	1003.2588
-554099.3616	-1057157.156	883.0296
-549195.6961	-1058090.052	1075.4769
-552679.9068	-1066296.85	552.3552
-550906.6955	-1056967.893	1292.054
-549878.1263	-1065005.868	823.4493
-545941.4288	-1059129.325	609.2258
-555014.9013	-1060994.134	1119.0696
-554837.6662	-1059887.169	1015.1465
-549992.5003	-1058506.487	1264.6842
-547065.4414	-1059250.956	715.7578
-552871.9868	-1060030.668	1071.3878
-548542.3497	-1057114.103	924.4507
-552728.3358	-1062787.557	950.1982
-544300.1853	-1061803.495	722.1993
-547062.6723	-1058180.979	690.5306
-547440.6089	-1061283.741	806.0302
-544740.0023	-1059281.304	580.3014
-550170.7764	-1063669.526	771.4059
-553545.1457	-1061774.34	1211.8217
-552992.4047	-1057897.581	1013.1404
-544585.3419	-1060793.655	666.8084
-544249.2503	-1063052.573	1036.2566
-548080.4614	-1059979.113	1001.1993
-546211.6093	-1062572.007	1034.6925
-549263.4912	-1065527.853	892.2297
-552857.913	-1060333.04	976.4622
-548730.8731	-1063856.777	739.8354
-543568.2255	-1057792.899	707.5129
-553766.0634	-1058051.758	977.8504
-544027.4661	-1058243.735	724.2874
-548099.6867	-1062936.561	995.8903
-554027.7494	-1059253.652	909.1515
-554807.7218	-1058446.106	847.9741
-545924.9532	-1065336.755	979.4626
-544523.6304	-1057443.606	568.6251
-550977.9508	-1065426.226	807.3561
-544429.4333	-1061225.72	643.842
-548998.7962	-1060625.622	1189.0653
-546639.8871	-1065600.209	802.6699
